,id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
10800,46535277,Prime Highland Park Walking distance to York & Fig,32694300.0,1.4626593978881546e+18,Vivian,City of Los Angeles,Highland Park,34.11668,-118.20348,Entire home/apt,137.0,31.0,18,2025-04-20,0.3,2.0,32,0,
11000,46731537,Modern House with Pool (steps to Beverly Hills),9662298.0,1.4625705969873441e+18,Joel,Other Cities,West Hollywood,34.07776,-118.38738,Entire home/apt,556.0,31.0,8,2024-05-01,0.14,3.0,177,0,
11200,47836739,Cozyroom 1/TV/Qbed/memoryfoam mattress/shared bath,378859287.0,1.4697741400672937e+18,Cindy,Other Cities,La Puente,34.04953,-117.97158,Private room,,1.0,108,2026-05-21,1.66,14.0,0,9,
11400,48020504,"WEHO Home w/ pool, jacuzzi, and outdoor shower",166598452.0,1.4686146941027034e+18,Jimmy,City of Los Angeles,Beverly Grove,34.07719,-118.36732,Entire home/apt,1115.0,30.0,0,,,1.0,364,0,
11600,49417559,The Rosalita House,29269223.0,1.4654312334457247e+18,Carrie,Other Cities,Long Beach,33.77271,-118.15759,Entire home/apt,331.0,2.0,147,2026-06-07,2.37,1.0,306,25,NRP22-00662
11800,49592867,Log Cabin Cottage Near the Sea w/ Private Yard!,2344764.0,1.462592596834955e+18,Kevin,City of Los Angeles,Venice,33.987483978271484,-118.46728515625,Entire home/apt,,31.0,22,2024-03-10,0.35,5.0,0,0,Exempt - This listing is a bed and breakfast
12000,50936312,California Dreaming Bungalow with Modern day Charm,109408092.0,1.4673243900064166e+18,Jose,Other Cities,Long Beach,33.77734,-118.17478,Private room,59.0,31.0,6,2025-10-09,0.13,1.0,127,1,Exempt
12200,51021189,Casa Riviera,412746811.0,1.4698808000978627e+18,Joseph,Other Cities,Torrance,33.81436,-118.38582,Entire home/apt,1449.0,30.0,1,2022-01-02,0.02,1.0,365,0,
12400,51920556,"Spacious 1BD/1BA with Balcony,Gym,Pool,Parking!",374464274.0,1.469761655941433e+18,DSPG Management,City of Los Angeles,Mid-Wilshire,34.058,-118.35497,Entire home/apt,117.0,31.0,20,2026-05-07,0.43,51.0,307,4,
12600,52131325,Luxury 1br Condo in DTLA!,397885133.0,1.4698306074972936e+18,Xavier,City of Los Angeles,Downtown,34.05163,-118.25692,Entire home/apt,217.0,30.0,2,2021-10-03,0.03,1.0,365,0,HSR19-100231
12800,52507323,Lovely 2 Bedroom Loft with Pool,424315413.0,1.469924642687929e+18,Bella,City of Los Angeles,Downtown,34.04465,-118.25175,Entire home/apt,183.0,30.0,0,,,1.0,364,0,HSR19-452553
13000,52827239,King/Queen Elegance & Comfort 2-Story with Views!,297263260.0,1.4634069711084344e+18,Kevin,Other Cities,Burbank,34.1962,-118.32391,Entire home/apt,407.0,2.0,50,2026-04-12,0.88,16.0,352,5,
13200,53876129,Luxurious Eclectic Mid-Century House,118377332.0,1.462913772251801e+18,Stephane,City of Los Angeles,Eagle Rock,34.135041053361675,-118.22522072745645,Entire home/apt,296.0,30.0,3,2023-08-04,0.08,1.0,287,0,HSR22-000064
13400,53783644,"Modern Home close to SoFi Stadium, LAX & Beaches",177028080.0,1.4687144684187095e+18,Bardia,Other Cities,Inglewood,33.94955,-118.32041,Entire home/apt,783.0,2.0,142,2026-06-01,2.61,2.0,246,36,STR24-00046
13600,54392213,"Private bungalow close to beach, food & shopping",12810448.0,1.4628961826042004e+18,Allison,City of Los Angeles,Venice,33.989,-118.44901,Entire home/apt,,30.0,46,2023-02-20,0.91,1.0,0,0,HSR22-000821
13800,560404891708818119,Entire Quiet Home & Yard Near Beach Sofi LAX,6571532.0,1.4627098167686692e+18,Ian,Other Cities,Hawthorne,33.8959,-118.34008,Entire home/apt,477.0,1.0,110,2026-05-31,2.15,1.0,147,7,
14000,566591203539900356,Garden Suite with a Private Deck,20674654.0,1.4626141111727127e+18,Amnon,Other Cities,Burbank,34.19894,-118.30743,Entire home/apt,183.0,1.0,121,2026-06-10,2.44,2.0,158,84,
14200,573032880193658263,New guest house/kitchen/Laundry/TV/gate parking,298837285.0,1.4634102095871188e+18,Jenny,Other Cities,Baldwin Park,34.07398,-117.98529,Entire home/apt,124.0,1.0,244,2026-05-24,4.68,4.0,304,45,
14400,574606879781266868,"Designer Estate w/ Pool, Spa, and Iconic LA Views",417195791.0,1.469896391907299e+18,The Maimon Group,City of Los Angeles,Hollywood Hills West,34.0917,-118.38911,Entire home/apt,4750.0,31.0,5,2024-01-22,0.1,58.0,89,0,HSR23-003292
14600,602281427377852998,Charming Spanish Gem by the Beach,165803414.0,1.4686088958648914e+18,Michelle,Other Cities,Long Beach,33.76532,-118.14776,Entire home/apt,119.0,31.0,17,2026-05-01,0.36,3.0,157,4,
14800,622356929710229633,Private Suite & Floor - 3 blocks from the beach,36487409.0,1.4655424976372782e+18,Natalie,Other Cities,Redondo Beach,33.8497,-118.3875,Private room,194.0,1.0,236,2026-06-09,4.74,1.0,168,48,
15000,632591401745175246,A Treehouse in the Forest,170076713.0,1.4686438206708552e+18,Teresa,Unincorporated Areas,Topanga,34.09241,-118.6014,Entire home/apt,,3.0,31,2024-02-19,0.63,1.0,364,0,
